Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
2019-01-01,276,226726.05236495263,226652.6007415701,48485.35538504067,2228.305865332528,504092.3149597791
2019-01-02,300,260691.91179226324,261546.68133873405,56532.90157281052,2351.0323354565635,581122.5322021435
2019-01-03,300,265868.41114137555,271765.91829067137,57024.67562350869,2277.753371382123,596936.7636764819
2019-01-04,300,262044.6603424933,268768.42637436633,56456.88814782031,2154.7332646569907,589424.7104538726
2019-01-05,300,260399.80940282793,259987.94537933305,55838.51371972456,2173.155738275401,578399.4237131233
2019-01-06,300,258868.85196037753,236890.85600249295,49997.0799157282,1804.4495338743352,547561.2360464368
2019-01-07,300,261582.66764639821,263690.8948323265,53903.54916617875,1744.0191834878262,580921.13826575
2019-01-08,300,266227.1673990772,261268.30225774032,53043.94868111245,1799.8919719280802,582339.3167675693
2019-01-09,300,262625.4367427548,260620.9993192199,52996.25037676555,1693.8943802837287,577936.584708467
2019-01-10,300,259756.32881699942,260643.05919130018,52836.295124188735,1671.975766138503,574907.6663488661
2019-01-11,300,263712.62655462406,261942.71069557755,53224.9767794598,1814.8760664487977,580695.1958448772
2019-01-12,300,238441.60486334583,242828.05214616918,50237.5369127033,1846.4838105844956,533353.680443613
2019-01-13,300,238204.7343568539,229710.81377732375,50849.195708001025,1870.7061196634565,520635.44786009274
2019-01-14,300,266629.0306210695,272216.0928374437,58086.93887292475,1947.5786036679533,598879.6310029248
2019-01-15,300,271621.36721621244,271482.19091276877,54869.13380336787,1828.7598595402878,599801.454759981
2019-01-16,300,268375.1880751431,265672.072905965,53311.3006126551,1657.3935269690146,589015.9556536677
2019-01-17,300,262493.04074759915,266414.25300278375,55926.74281093545,1623.0254097040336,586457.1401042932
2019-01-18,300,257095.72849953582,252210.640517058,51641.71493938507,1582.1425867214316,562530.2276365116
2019-01-19,300,238164.1400241028,228260.33972190623,47388.27276458676,1603.8210175603265,515416.5723193917
2019-01-20,300,239719.5929290411,217737.88848337613,46727.75339557495,1646.434187926793,505831.7242906307
2019-01-21,300,255661.30438123687,243900.18660769708,50956.04652433541,1750.7852339714866,552268.3273259735
2019-01-22,300,262111.41164760222,257458.48701881588,53877.13959177006,2097.63435338638,575544.7078144732
2019-01-23,300,262353.27769692586,258272.2880502287,53946.25702298498,1988.2871510390014,576560.1562304728
2019-01-24,300,259537.92309666306,258118.64348689525,53758.890972581685,1860.0222100917335,573275.4845576996
2019-01-25,300,257413.25099079908,251365.65999265062,52125.822909105504,1813.1196140415982,562717.8590310335
2019-01-26,300,241055.97541097435,227240.75895732577,48171.08389357146,1559.2976770417777,518027.11684450455
2019-01-27,300,232352.86822131663,214293.70513069275,46555.983793993,1551.5533334821382,494754.1089890683
2019-01-28,300,255781.4584602445,250545.39112270763,52483.251515289485,1613.633529236607,560423.740504809
2019-01-29,300,253085.68086344982,252122.62814396239,54145.92052018931,1458.005422860028,560812.2420155588
2019-01-30,300,251402.21570580255,252722.69472644327,51748.012384255526,1510.6836374128789,557383.6135923843
2019-01-31,300,250027.1582536726,259664.19952457433,54497.49591018869,1614.1993839100942,565803.0588054381
2019-02-01,324,264866.1019060967,263163.68893506046,55065.1217530218,1595.1477152865948,584690.062940025
2019-02-02,300,239153.51562495544,244953.58343608747,52659.98136303576,1561.3491877349934,538328.5618821711
2019-02-03,300,243178.64727959322,232363.33442505074,48783.47750167372,1665.7042485268626,525991.1509331601
2019-02-04,300,265728.9806994063,262144.61282189656,55184.863115136286,1787.8071361921436,584846.277174547
2019-02-05,300,265934.8262754461,266789.78770781617,55767.043814934455,1989.022882509937,590480.703577358
2019-02-06,300,265041.69139072864,269684.8715541371,53940.203092782715,2164.097583138913,590830.767999476
2019-02-07,300,269094.47831754305,268491.7501852495,54640.4712062699,2107.5678536153005,594334.2697912696
2019-02-08,300,267963.21368640853,262757.6932795855,52439.49074198906,2044.5817762777888,585204.980983101
2019-02-09,300,250524.0491917876,240700.55601715622,50999.984624804514,1935.4568030599748,544160.049444444
2019-02-10,300,243284.98688704724,237897.27654910082,49687.95830608375,2035.8640211144505,532906.0898529092
2019-02-11,300,265560.41952328075,259445.04587118354,53945.88887745536,2013.5533405072154,580964.9127492491
2019-02-12,300,280576.30529472925,263026.4435780276,54369.94848981465,2077.4704755482085,600050.1631230159
2019-02-13,300,277797.1327467686,267932.33558502264,55819.357638047586,1891.1527742885635,603439.9828675931
2019-02-14,300,260834.8086059927,267587.1102786961,57652.29097498901,1785.8939543821803,587860.1105604904
2019-02-15,300,264990.53562459414,255689.498943885,52349.00121639829,1775.078959970537,574804.1240336736
2019-02-16,300,247808.0201865944,233580.54139608666,46691.26509389464,1731.0557996592838,529810.79602524
2019-02-17,300,243786.8704407204,230671.3736350148,47234.37740961874,2048.8883363842,523741.5116615224
2019-02-18,300,260636.9660392437,255999.76569844352,50678.253618067414,2208.128453761293,569522.9782455253
2019-02-19,300,267739.1271358667,267043.8172595018,54156.85870566153,2284.333772686489,591224.1370235921
2019-02-20,300,270780.11771524174,277414.7261273389,59010.15033135062,2258.27975955271,609463.2859914481
