trip_distance
5.97
2.96
1.2
5.2
2.23
1.21
5.8
3.09
1.0
0.8
2.1
0.82
0.7
6.3
1.24
3.34
0.0
7.49
0.49
1.96
0.83
1.69
9.0
1.5
1.53
3.21
1.14
2.2
1.18
2.83
2.1
3.47
0.52
1.56
0.92
0.84
3.76
1.6
5.08
16.02
10.2
0.08
3.2
2.7
7.7
2.8
0.85
2.62
3.56
7.56
9.99
2.06
1.79
0.67
1.7
4.1
4.79
1.8
1.58
2.69
3.6
3.3
1.55
1.23
2.0
3.86
1.63
1.63
1.3
2.21
1.75
1.63
11.37
5.8
5.54
1.06
11.55
1.2
2.09
2.18
1.06
9.0
3.0
3.0
1.6
1.49
1.2
3.12
1.4
7.5
1.88
0.9
0.47
0.8
1.4
1.11
6.09
1.29
2.04
0.62
